source_rack,target_rack,source_row,source_col,target_row,target_col,manhattan_distance,euclidean_m,source_delta_power_W,delta_inlet_K,delta_inlet_K_per_kW
129,160,6,9,8,0,11,8.072174428244228,13923.15131660198,-0.0054841238105680645,-0.0003938852409101372
129,161,6,9,8,1,10,7.6837490849194205,13923.15131660198,-0.005788235558359389,-0.0004157274044316025
129,162,6,9,8,2,9,7.3239333694402236,13923.15131660198,-0.005977149908314772,-0.00042929576590808235
129,163,6,9,8,3,8,6.9971422738143625,13923.15131660198,-0.006015607326720129,-0.00043205788617316205
129,164,6,9,8,4,7,6.708203932499371,13923.15131660198,-0.005888705105071779,-0.00042294341066667006
129,165,6,9,8,5,6,6.462197768561406,13923.15131660198,-0.005620464440820427,-0.0004036776095450877
129,166,6,9,8,6,5,6.264183905346332,13923.15131660198,-0.00529999077613752,-0.0003806602870011048
129,167,6,9,8,7,4,6.1188234163113435,13923.15131660198,-0.005130504410125525,-0.00036848729813112826
129,168,6,9,8,8,3,6.029925372672536,13923.15131660198,-0.0053578095265152115,-0.00038481299274012443
129,169,6,9,8,9,2,6.000000000000002,13923.15131660198,-0.005911306068821176,-0.0004245666756327304
129,170,6,9,8,10,3,6.029925372672536,13923.15131660198,-0.006514293211715483,-0.0004678749130556265
129,171,6,9,8,11,4,6.1188234163113435,13923.15131660198,-0.007009298279825771,-0.0005034275732870817
129,172,6,9,8,12,5,6.264183905346332,13923.15131660198,-0.007344045772487817,-0.0005274700824181068
129,173,6,9,8,13,6,6.462197768561406,13923.15131660198,-0.007516381505574543,-0.0005398477208684792
129,174,6,9,8,14,7,6.70820393249937,13923.15131660198,-0.007545628661251413,-0.0005419483340854019
129,175,6,9,8,15,8,6.997142273814361,13923.15131660198,-0.007456387178709889,-0.0005355387590896096
129,176,6,9,8,16,9,7.3239333694402236,13923.15131660198,-0.007269034371088168,-0.0005220825519881095
129,177,6,9,8,17,10,7.68374908491942,13923.15131660198,-0.006994174600929881,-0.0005023413480100601
129,178,6,9,8,18,11,8.072174428244226,13923.15131660198,-0.0066282934374548574,-0.0004760627308238239
129,179,6,9,8,19,12,8.485281374238571,13923.15131660198,-0.00614601623502864,-0.00044142422180674885
129,180,6,9,9,0,12,8.999999999999998,13923.15131660198,-0.003967375487441416,-0.0002849480981155978
129,181,6,9,9,1,11,8.653323061113573,13923.15131660198,-0.0042178553178544576,-0.00030293826605368304
129,182,6,9,9,2,10,8.335466393669881,13923.15131660198,-0.004356768944113298,-0.00031291543451935933
129,183,6,9,9,3,9,8.04984471899924,13923.15131660198,-0.004393542970106523,-0.0003155566487931262
129,184,6,9,9,4,8,7.799999999999997,13923.15131660198,-0.004350711413476205,-0.00031248036558278384
129,185,6,9,9,5,7,7.589466384404108,13923.15131660198,-0.00427449000297031,-0.0003070059288857548
129,186,6,9,9,6,6,7.421590126111787,13923.15131660198,-0.004241103122176071,-0.0003046079889341557
129,187,6,9,9,7,5,7.299315036357861,13923.15131660198,-0.004315873316080854,-0.00030997819516150786
129,188,6,9,9,8,4,7.224956747275375,13923.15131660198,-0.004513890557262812,-0.0003242003519620191
129,189,6,9,9,9,3,7.1999999999999975,13923.15131660198,-0.004804941433910415,-0.0003451044468776977
129,190,6,9,9,10,4,7.224956747275375,13923.15131660198,-0.005128218345557656,-0.00036832310652565867
129,191,6,9,9,11,5,7.299315036357861,13923.15131660198,-0.005422670085891923,-0.0003894714610639853
129,192,6,9,9,12,6,7.421590126111787,13923.15131660198,-0.005647162526472016,-0.0004055951413627412
